MID,url
M87126250;"File:Atlas de Wit 1698-pl051-Franeker-KB PPN 145205088-uitsnede Hottingahuis.png"
M87361582;"File:Atlas de Wit 1698-pl051-Franeker-KB PPN 145205088-uitsnede Groot Botnia.png"
M87525579;"File:Atlas de Wit 1698-pl051-Franeker-KB PPN 145205088-uitsnede Egmondshuis.png"
M88747884;"File:Atlas de Wit 1698-pl057-Deventer-KB PPN 145205088 Uitsnede Grote Kerkhof.jpg"
M95778567;"File:Universiiteit van Franeker Atlas de Wit 1698-pl051-Franeker-KB.jpg"
M106711956;"File:Atlas de Wit 1698-pl053-Dokkum-KB PPN 145205088-uitsnede Sint-Bonifatiusklooster.jpg"
M32092816;"File:Atlas de Wit 1698-001r-KB PPN 145205088.jpg"
M32092819;"File:Atlas de Wit 1698-001v-KB PPN 145205088.jpg"
M32092826;"File:Atlas de Wit 1698-002r-KB PPN 145205088.jpg"
M32092827;"File:Atlas de Wit 1698-002v-KB PPN 145205088.jpg"
M32092834;"File:Atlas de Wit 1698-003r-KB PPN 145205088.jpg"
M32093246;"File:Atlas de Wit 1698-pl071c-Antwerpen, Stadhuis-KB PPN 145205088.jpg"
M32093250;"File:Atlas de Wit 1698-pl072-Mechelen-KB PPN 145205088.jpg"
M32093263;"File:Atlas de Wit 1698-pl073-Tienen-KB PPN 145205088.jpg"
M32093268;"File:Atlas de Wit 1698-pl074-Lier-KB PPN 145205088.jpg"
M32093271;"File:Atlas de Wit 1698-pl075-Leuven-KB PPN 145205088.jpg"
M32093273;"File:Atlas de Wit 1698-pl076-'s-Hertogenbosch-KB PPN 145205088.jpg"
M32093277;"File:Atlas de Wit 1698-pl077-Breda-KB PPN 145205088.jpg"
M32093280;"File:Atlas de Wit 1698-pl078-Grave-KB PPN 145205088.jpg"
M32093283;"File:Atlas de Wit 1698-pl079-Bergen op Zoom-KB PPN 145205088.jpg"
M32093286;"File:Atlas de Wit 1698-pl080-'t Fort van Ordam-KB PPN 145205088.jpg"
M32093290;"File:Atlas de Wit 1698-pl081-Maastricht-KB PPN 145205088.jpg"
M32093294;"File:Atlas de Wit 1698-pl082-Bergen in henegouwen-KB PPN 145205088.jpg"
